Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Species	boot.Kingdom	boot.Phylum	boot.Class	boot.Order	boot.Family	boot.Genus	boot.Species	Assignment
9cadbc09e330556d7c5c03b5e27bbceb	Bacteria	Actinomycetota	Actinomycetes	S36-B12	S36-B12	Mxb001	Mxb001 sp004379115	100	100	100	100	100	100	100	GTDB r207
2c11db25d133c5a32434537156ee683d	NA	NA	NA	NA	NA	NA	NA	71	63	63	61	59	59	59	GTDB r207
28e1806e79732c02f6bc200c0cae38f3	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Acidaminobacteraceae	Fusibacter_C	Fusibacter C tunisiensis	100	100	100	100	100	99	98	GTDB r207
204585d9c6262c63a4b2dc6be2cc5d80	Bacteria	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	JAQCEJ01	JAQCEJ01 sp027618475	100	100	100	100	100	100	100	GTDB r207
c6b10c26bec8b7f0d152abb2f582f50b	Bacteria	Cyanobacteriota	Cyanobacteriia	PCC-6307	Cyanobiaceae	NA	NA	100	100	100	100	100	69	26	GTDB r207
8d13433b8eb6655c8c462ba96b02fd61	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	JAGOPY01	JAGOPY01	NA	100	100	100	100	100	100	71	GTDB r207
9c2c0df6ccc3bbca650c5acd2c67c856	Bacteria	Actinomycetota	UBA4738	UBA4738	HRBIN12	AC-51	NA	100	100	100	100	100	96	67	GTDB r207
523ac9ebc5108c799030726af50c02ba	Bacteria	Chloroflexota	Anaerolineae	Caldilineales	Caldilineaceae	NA	NA	100	100	100	100	100	57	57	GTDB r207
d8db74e5e4d7934f6a461cb3461ed780	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	NA	NA	NA	100	100	100	100	60	44	44	GTDB r207
b098662f5e4872945c8b4becef5f4a64	Bacteria	NA	NA	NA	NA	NA	NA	100	60	60	59	52	48	48	GTDB r207
b9d14d4d53d1ca0db6d63ff55fc2ee30	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Falsiroseomonas	Falsiroseomonas bella	100	100	100	100	100	100	96	GTDB r207
90d0490a90ea4a5ab77413a4569d7b58	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	RGVZ01	CAIYRB01	CAIYRB01 sp016874735	100	100	100	100	100	91	91	GTDB r207
9c349f3bbbec94421629da9e93e46326	Bacteria	Pseudomonadota	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	UBA10425	UBA10425 sp003499545	100	97	97	97	97	97	97	GTDB r207
102acc7ca1822f5808428ada0307e392	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	UBA8139	M30B73	M30B73 sp018401565	100	100	100	100	100	100	100	GTDB r207
4f60757fcc8b609207b84b7e31c25e2b	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA	100	100	100	100	100	51	12	GTDB r207
b6aeae89dbe44ed69f1b842755d0a521	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	UBA1268	NA	NA	100	100	100	100	100	42	42	GTDB r207
da83467ae1da6e823979acb86224aa16	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	GCA-2746885	NA	100	100	100	100	100	80	60	GTDB r207
